transaction_amount,transaction_type,account_balance,device_type,location,merchant_category,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,is_weekend,fraud_label,hour,day,month,day_of_week
154.86,1,46395.55,1,2,4,4,260.42,4,2,145,2371.17,1,1,1,10,22,10,6
120.86,3,18445.4,2,1,4,6,217.39,3,1,50,1779.8,0,0,0,4,19,11,6
73.71,1,93070.39,1,1,4,11,472.4,4,0,75,1728.37,1,1,1,14,13,5,5
46.26,2,55696.24,0,1,1,1,271.45,1,1,159,2936.15,2,0,0,7,16,6,4
51.14,2,94341.02,0,3,1,13,142.45,0,3,226,2283.15,3,1,1,16,30,10,0
29.59,0,83606.22,2,4,4,9,411.83,1,2,101,1747.19,0,1,0,22,30,12,5
135.43,1,9878.14,2,2,4,9,130.29,3,0,215,4569.08,3,0,0,15,11,7,1
277.97,2,27211.99,1,4,3,10,134.74,0,0,86,1219.84,0,0,0,8,24,9,6
75.33,3,40286.52,0,0,2,6,161.39,0,3,231,2474.26,0,0,0,20,24,9,6
135.31,2,31203.03,1,2,1,5,379.53,0,0,192,102.21,0,1,0,19,12,8,5
2.3,2,30921.45,2,0,0,1,367.3,0,3,131,280.21,2,0,0,22,19,4,2
109.19,1,92245.65,2,4,3,12,427.8,2,1,23,2524.16,2,0,0,18,2,2,3
71.36,2,51720.77,1,3,1,13,332.71,2,3,28,2055.12,1,1,0,1,22,12,4
20.42,2,29235.47,0,1,2,5,341.52,1,1,59,3855.28,1,1,0,0,23,5,1
85.83,1,35428.27,2,0,2,5,121.86,0,1,125,3990.38,1,1,0,5,8,7,5
170.77,0,75008.22,0,3,0,12,193.49,0,2,27,2520.73,0,1,0,23,21,7,4
61.46,1,56064.35,2,4,1,7,394.29,2,0,33,4214.36,2,0,1,6,29,10,6
115.09,0,67864.83,0,3,1,10,226.27,4,0,146,2773.37,1,0,1,10,20,9,2
78.55,3,87653.78,0,0,2,2,450.78,0,1,58,3289.86,3,0,0,17,21,2,1
66.8,3,23026.04,0,2,0,14,397.56,0,0,178,263.94,2,0,0,8,13,11,0
147.61,1,43268.29,2,4,3,12,372.82,2,1,200,3255.44,0,0,0,10,6,10,4
132.3,2,30487.0,1,4,1,14,480.25,4,3,66,875.77,1,0,1,6,25,10,2
3.28,3,75298.59,2,2,1,9,319.56,3,3,24,2986.98,2,0,0,21,31,7,0
287.11,1,71239.42,2,2,0,7,198.42,4,3,50,3573.42,1,0,1,11,25,2,5
270.1,0,83323.93,2,2,2,5,289.86,2,3,37,3185.73,1,0,0,9,23,3,3
21.03,3,21905.59,2,0,3,4,340.31,1,1,61,2674.39,1,0,0,10,30,7,6
60.96,2,46333.3,0,2,2,11,249.85,3,2,200,4541.68,2,1,1,10,28,1,5
182.57,3,81809.89,2,4,1,11,367.24,2,2,233,846.88,3,0,0,0,17,10,1
32.94,2,24821.41,2,2,3,4,160.92,4,2,135,3570.2,0,0,1,0,15,5,0
11.77,2,49374.99,0,2,3,3,235.89,4,0,216,1126.04,2,0,1,12,25,4,1
121.95,2,60373.53,2,2,3,9,475.57,4,3,169,713.44,1,0,1,8,15,12,4
35.09,3,20654.37,2,1,0,11,344.38,2,2,23,4008.72,0,0,1,11,12,8,5
77.79,3,18843.2,1,2,0,6,213.01,4,3,61,1493.99,3,0,1,7,9,2,3
62.62,3,68720.59,1,0,1,12,78.58,2,0,172,2616.72,1,0,1,4,2,8,2
82.96,2,40150.02,1,0,2,1,468.97,4,1,83,929.0,1,1,1,4,31,12,6
72.26,0,32040.61,1,4,2,6,122.29,3,2,204,865.49,3,0,1,12,29,6,3
176.23,0,70358.86,1,4,4,12,125.98,1,3,106,568.55,3,0,0,8,31,1,1
99.64,3,82181.69,2,1,4,4,257.51,1,1,26,2517.78,2,0,0,0,12,1,3
317.31,2,66362.4,1,0,0,6,269.07,0,2,58,2925.44,3,1,0,18,30,9,5
32.4,0,77488.69,1,1,2,11,342.3,2,3,123,1043.78,3,1,1,16,21,4,4
111.13,1,53087.57,1,1,1,14,412.17,2,3,105,116.47,3,0,0,11,6,5,5
60.66,1,92883.54,0,0,0,3,61.56,4,0,70,1091.8,1,1,1,6,21,11,1
306.7,3,96695.57,1,1,1,1,41.27,4,2,35,2808.33,1,0,1,22,6,9,2
18.7,2,44676.01,1,4,4,7,409.53,3,1,163,3942.19,2,0,0,0,13,9,2
27.72,0,46749.43,0,2,2,2,39.51,4,2,138,2792.12,2,1,1,12,30,7,6
219.8,2,10057.3,0,4,2,12,450.92,3,2,46,3160.21,0,0,0,7,30,7,6
120.91,0,89438.54,0,2,1,10,339.33,3,2,53,4619.4,2,0,0,6,12,2,6
28.04,1,78900.53,2,0,3,9,487.67,4,0,32,470.63,1,0,1,3,5,2,6
61.9,2,16242.83,0,4,2,11,25.11,0,2,11,4421.43,0,1,0,5,3,8,3
8.02,3,34652.2,0,1,2,11,171.87,2,0,168,3309.99,2,0,0,14,21,5,6
2.93,1,31674.13,1,0,3,14,70.87,3,1,84,784.31,0,0,1,17,19,1,3
41.28,3,54588.52,2,2,0,4,184.53,0,3,23,2415.53,2,1,1,2,23,12,5
206.46,2,77990.66,2,0,2,6,321.56,4,0,139,2882.78,2,0,1,18,5,7,2
61.4,1,11468.26,2,2,1,5,249.85,0,3,112,4144.7,3,0,0,13,22,2,2
49.8,0,13157.01,0,4,4,3,143.63,0,1,190,3097.74,1,1,0,21,29,12,4
52.06,0,64413.88,0,3,4,9,193.51,1,2,167,4322.34,3,0,0,11,14,10,5
65.37,2,20346.52,2,2,0,8,399.09,0,2,76,3202.25,0,1,0,12,21,3,1
160.72,3,54388.68,2,4,2,6,251.18,3,3,55,4611.38,0,1,0,1,23,9,5
6.96,1,54385.72,2,0,4,1,204.17,1,0,203,1496.79,1,0,0,10,9,8,2
6.67,2,4537.86,0,4,3,6,445.92,4,3,173,2412.79,2,0,1,3,16,8,2
372.92,1,80553.43,1,3,3,14,188.86,2,0,55,1084.82,0,0,0,21,20,3,0
15.79,1,42525.88,2,2,3,9,96.03,4,0,82,190.65,0,1,1,4,26,11,6
78.54,0,77058.21,0,3,4,14,30.62,2,0,55,4569.52,0,1,0,14,4,5,3
81.21,2,97521.53,1,4,4,4,188.44,2,2,170,3072.04,2,0,1,11,24,12,6
57.82,3,23156.79,0,3,4,4,333.94,1,2,225,1140.86,1,0,0,5,8,12,4
43.81,1,5935.73,1,3,4,5,137.06,1,1,167,2348.25,0,1,0,4,7,8,0
84.74,2,81934.52,0,2,2,14,405.81,3,2,131,3651.43,0,0,0,17,24,7,0
27.46,2,67004.19,0,1,4,10,253.34,3,0,40,219.5,2,0,0,12,10,4,0
22.93,2,84335.38,0,0,3,10,115.64,4,0,218,3264.06,1,1,1,0,4,6,6
59.34,1,58585.24,2,4,1,12,379.11,3,2,203,780.17,2,0,0,21,21,10,5
20.07,1,64528.35,1,1,0,12,440.96,1,0,107,3410.79,0,0,0,16,1,9,4
57.84,3,74091.2,1,3,1,13,247.36,2,1,48,1494.85,3,0,0,16,23,11,3
97.32,1,69081.05,0,4,3,11,70.3,2,3,187,969.18,2,0,0,22,20,12,2
74.74,3,33593.22,1,3,0,9,192.78,1,3,41,384.75,2,0,0,5,6,12,2
32.21,2,86016.96,0,3,2,7,244.73,3,0,53,2625.06,1,1,0,4,12,9,1
16.57,3,82890.36,1,0,1,1,46.65,1,2,95,1062.42,3,1,0,17,18,8,4
245.38,1,11500.3,1,3,0,1,266.4,4,2,56,1415.78,0,0,1,15,26,4,2
188.91,0,59297.71,1,0,1,5,179.61,1,2,173,1653.76,2,0,0,13,11,2,5
112.27,2,54543.95,1,3,3,3,182.43,3,0,98,2640.67,3,0,0,17,19,1,3
49.16,3,2813.46,1,4,4,6,452.39,4,2,102,2249.28,1,1,1,0,21,2,1
217.77,0,21278.18,2,2,4,6,239.56,0,2,161,3614.61,0,1,1,12,26,11,6
69.86,3,68301.75,1,4,1,5,460.67,0,2,226,4604.75,2,1,0,4,22,4,5
124.58,2,19994.02,1,0,3,3,391.1,1,3,71,3004.63,1,0,0,4,21,2,1
294.52,2,28044.99,2,2,2,11,158.5,0,3,119,4705.61,2,0,0,20,17,6,5
40.0,0,17169.41,2,4,4,9,65.82,3,3,134,4503.18,2,0,1,15,16,12,5
255.47,3,39904.12,0,4,2,3,454.53,1,3,25,3022.9,0,0,0,8,12,3,6
213.42,0,58534.87,1,2,4,3,119.92,4,3,56,4021.28,1,0,1,17,8,5,0
94.77,0,20344.66,0,1,4,3,396.27,0,1,181,3223.23,3,0,0,23,19,8,5
16.97,3,29495.3,1,0,2,4,443.44,0,1,56,2088.33,3,0,0,2,26,6,0
105.55,2,65876.58,0,3,2,14,105.73,0,3,151,2107.33,2,0,0,18,25,12,0
177.84,0,5968.25,0,2,3,8,155.16,3,1,173,1859.13,0,1,0,18,14,12,3
10.48,0,50799.39,0,3,0,13,239.17,4,1,48,307.9,3,1,1,13,16,5,1
6.96,2,18415.16,1,3,0,10,265.24,3,1,163,1046.24,3,0,1,10,20,11,0
121.28,3,57243.05,1,0,2,9,329.58,4,3,233,2411.65,1,0,1,23,30,11,3
105.43,1,40834.9,1,0,1,1,150.63,2,0,38,2753.41,2,1,1,14,10,2,4
189.71,1,87470.35,2,4,4,4,313.67,3,0,174,2510.8,1,1,0,8,17,4,0
125.21,3,64746.07,2,0,1,10,321.0,1,2,80,3181.54,2,1,1,4,14,4,4
35.42,1,61014.92,2,1,3,12,365.84,3,1,83,794.63,2,0,0,17,27,2,0
49.83,3,85043.36,0,2,2,5,297.29,2,2,28,589.53,0,1,0,16,26,5,4
14.88,1,39330.53,2,0,1,14,371.43,0,0,143,529.39,2,1,1,14,7,8,0
25.19,0,71238.54,1,4,3,6,178.33,0,2,107,2373.57,3,1,0,12,8,1,6
208.86,3,65702.83,0,4,3,1,330.59,4,0,135,4893.91,3,0,1,13,14,5,6
70.63,0,94784.01,1,4,2,2,331.48,2,1,95,2472.7,3,0,0,14,12,6,0
49.89,3,53961.24,0,2,4,9,250.7,3,2,162,1509.69,0,1,0,2,31,1,1
68.09,2,51147.66,0,4,3,9,121.85,4,3,122,775.69,2,0,1,7,9,11,3
19.98,3,13925.1,0,1,2,7,286.51,3,2,195,1709.21,3,0,0,21,25,11,5
12.2,0,88335.02,0,2,0,11,62.28,1,2,28,2363.88,0,0,0,1,23,4,6
78.02,2,7922.56,1,0,3,5,161.81,3,3,115,2643.1,0,0,1,21,30,10,0
53.95,0,23356.77,1,2,1,8,250.44,4,0,52,1748.08,1,0,1,1,31,3,4
26.07,2,6879.56,0,1,3,8,231.61,3,0,172,1406.32,0,1,0,6,9,6,4
113.73,1,27745.74,0,2,3,13,67.4,3,0,181,724.81,0,1,0,2,13,9,2
14.39,3,88917.15,1,2,3,8,132.98,3,0,66,2342.65,2,1,0,4,22,12,4
156.26,1,35920.02,0,1,4,1,274.82,4,0,212,2339.65,1,0,1,21,16,7,6
149.22,0,92783.03,1,3,1,8,262.96,0,0,147,3886.47,1,0,1,14,30,1,0
19.71,3,52942.0,2,0,3,2,184.8,3,3,207,1122.65,3,0,0,22,21,4,4
96.17,1,34374.82,0,4,3,2,218.18,1,0,110,4528.58,0,0,1,21,27,8,6
88.75,0,27657.9,2,2,4,6,71.27,1,3,171,189.06,1,0,0,12,5,6,0
14.16,0,5688.8,0,3,2,8,142.23,4,3,112,4087.08,1,0,1,8,4,10,2
71.67,2,87159.04,1,1,0,9,457.14,1,1,161,2183.01,0,0,0,8,8,7,5
72.47,1,36063.73,0,4,0,1,440.71,1,3,86,1008.12,1,1,0,22,26,3,6
26.99,1,56569.66,0,3,2,8,405.24,4,0,5,4076.75,3,1,1,5,2,6,4
166.34,2,96426.92,1,1,3,10,394.1,3,3,145,2922.45,1,1,0,8,31,12,6
54.67,3,11380.75,0,4,0,5,275.6,3,2,153,3630.78,1,0,0,7,25,11,5
130.64,0,94015.89,2,4,2,14,439.06,0,3,208,1015.54,3,0,0,14,29,12,4
134.09,1,51269.74,2,2,4,1,93.94,4,0,42,4710.96,3,1,1,11,25,9,0
125.88,3,78099.77,0,3,0,3,310.42,4,2,21,1240.6,1,0,1,19,28,12,3
242.53,1,16044.94,1,2,0,3,276.2,4,0,36,3000.65,2,0,1,3,29,4,5
126.82,0,5000.01,0,1,3,11,490.05,3,1,235,532.57,1,0,0,2,10,3,4
56.12,2,15482.38,0,0,4,7,389.98,4,2,59,3460.62,3,0,1,17,15,3,2
94.82,2,23859.03,1,1,2,6,451.92,2,0,121,3214.93,3,1,0,8,13,5,5
39.74,3,13824.0,1,4,2,1,201.77,3,2,100,1882.93,0,0,0,8,1,3,2
305.73,0,20134.23,2,1,0,6,243.32,2,0,180,4704.3,1,1,0,22,31,7,0
121.09,0,36158.48,2,4,3,7,215.86,0,2,150,1056.29,0,1,0,5,14,10,5
55.24,2,95919.49,1,4,2,1,183.51,3,1,30,1808.15,1,0,0,18,22,11,2
87.37,3,69759.63,1,0,4,3,309.14,2,0,200,2012.87,3,0,1,11,13,3,0
37.72,2,69943.66,2,2,3,8,149.1,2,0,134,4772.47,2,0,0,10,13,3,0
356.54,3,22525.44,2,0,2,14,459.17,4,0,69,1657.71,3,0,1,2,25,7,1
95.88,1,25958.9,2,3,3,11,98.65,1,2,156,408.16,3,1,0,3,26,1,3
27.44,2,5506.77,2,4,0,6,83.36,0,0,56,3625.08,2,0,0,2,4,5,3
85.36,0,27694.6,0,3,0,12,113.15,4,1,8,230.76,1,1,1,0,3,10,1
10.06,2,54473.34,0,3,1,11,387.8,0,0,169,4084.03,1,1,0,17,9,11,3
209.76,0,7278.32,1,3,0,10,341.0,2,1,219,4282.97,3,0,0,20,15,8,1
11.5,0,18609.79,1,1,2,6,264.03,1,0,51,3975.6,1,0,0,16,16,3,3
40.63,0,70022.27,1,4,4,6,368.98,0,0,47,592.15,1,0,0,11,2,3,3
225.75,0,18735.06,2,1,0,13,158.09,1,1,234,2751.92,3,0,0,12,17,9,6
111.42,1,32273.04,1,1,2,1,439.3,4,1,186,1303.43,2,0,1,14,19,2,6
217.33,2,3304.51,0,1,2,7,470.68,0,0,194,4060.85,2,0,0,20,24,3,4
49.2,3,84184.6,1,1,1,14,25.14,0,3,85,1128.73,1,0,0,3,20,10,4
51.28,3,33332.58,0,3,4,12,94.74,0,2,123,313.64,0,1,0,3,27,3,0
188.01,1,27519.13,0,3,0,11,60.43,0,0,6,786.6,0,1,0,20,8,12,4
26.66,0,14946.14,1,0,4,9,310.76,4,1,24,1398.54,1,0,1,20,27,1,4
54.87,1,97773.45,0,1,4,2,449.17,1,3,111,249.55,0,0,1,7,25,10,2
203.72,2,57239.1,0,1,3,12,332.07,3,2,177,2218.76,3,0,0,13,29,3,2
173.53,0,29135.64,0,4,0,10,265.14,1,1,182,2137.98,0,0,0,7,15,3,2
66.58,1,9003.51,0,1,0,4,124.98,1,3,214,1912.66,1,0,0,4,25,3,5
83.02,0,79133.88,0,4,1,3,478.39,1,3,16,4492.05,3,1,1,6,21,10,5
50.36,1,16558.34,1,1,1,10,258.27,0,0,157,1528.96,0,0,0,9,10,3,4
170.25,1,25586.58,2,0,1,2,21.13,4,0,105,4135.1,1,0,1,19,8,6,3
33.52,3,81370.05,2,1,2,2,300.87,4,2,181,1678.24,0,1,1,20,23,7,6
210.99,3,90536.73,2,3,0,3,207.52,0,1,74,2250.13,3,0,0,5,23,9,5
33.21,3,17386.93,0,0,0,4,389.17,2,2,160,2393.26,3,0,0,16,22,12,4
117.41,2,58530.22,1,2,2,9,439.5,3,3,145,2873.49,1,0,0,3,27,9,2
232.48,2,89361.58,0,3,0,4,418.37,3,2,10,2944.68,3,0,0,14,21,1,5
56.01,0,45563.54,2,3,3,12,480.76,3,2,152,2436.37,2,0,0,13,15,9,4
78.29,0,86302.09,0,2,4,4,57.72,4,0,228,1515.29,1,0,1,16,31,1,1
23.58,3,21972.97,1,1,4,4,182.8,2,1,33,2384.6,2,1,0,1,18,2,5
119.84,1,13823.63,2,4,4,4,300.92,2,1,160,2537.29,3,0,0,18,10,8,3
45.05,2,14805.54,2,1,1,7,249.15,4,1,193,4022.07,3,1,1,18,4,6,6
131.06,2,9598.76,1,3,2,1,406.46,4,2,198,883.9,1,1,1,7,24,8,3
89.12,1,46230.22,2,2,4,3,165.36,3,1,189,307.01,3,1,0,21,4,12,0
57.86,2,80703.45,1,0,4,13,106.16,3,1,18,200.2,0,0,0,4,13,2,0
33.09,3,40008.21,0,4,1,12,202.47,2,1,127,4219.94,3,0,0,17,30,9,5
14.73,2,8583.72,0,4,3,11,352.99,4,2,78,4612.86,1,0,1,1,9,10,0
8.15,0,17793.3,0,3,1,11,30.69,1,0,169,1559.95,0,1,1,6,18,2,5
42.91,0,91862.46,0,4,1,4,25.63,1,0,37,4371.37,3,0,0,12,11,10,2
83.73,0,50395.15,2,1,2,13,250.83,0,0,225,1027.63,3,0,1,3,23,9,5
259.48,2,95969.42,1,0,3,6,153.2,3,0,114,2746.26,2,1,0,13,18,2,5
375.78,2,2884.61,1,2,1,4,72.82,4,1,210,2608.62,3,1,1,14,12,11,6
7.1,3,21987.44,1,4,0,1,343.42,4,3,46,1474.94,2,1,1,22,2,9,5
100.13,2,27505.99,2,1,0,3,437.64,2,3,21,260.1,3,0,1,22,25,6,6
143.1,3,69833.88,0,2,3,6,360.17,3,1,115,4663.46,3,1,1,21,16,6,4
242.58,2,74340.98,0,4,2,6,404.49,3,2,170,2880.88,1,0,0,8,1,5,0
79.52,0,25941.63,2,0,4,8,115.03,0,3,139,734.49,0,0,0,9,3,9,6
129.85,3,77765.6,2,2,2,12,204.7,2,0,35,1465.5,0,0,0,11,2,1,0
132.0,2,5863.5,0,3,1,14,421.43,0,3,27,602.49,1,1,0,6,9,4,6
2.79,2,52840.55,2,2,2,11,69.1,1,0,47,4812.57,0,1,0,16,9,10,0
236.05,3,96750.16,2,3,1,3,450.11,0,3,197,4633.83,0,1,0,8,9,12,5
154.76,2,86591.52,2,3,0,2,177.28,3,1,194,4447.21,2,1,0,14,14,8,0
113.48,2,33641.98,1,4,4,8,451.62,2,0,56,2698.91,1,0,0,1,19,4,2
86.02,1,16955.32,2,0,2,2,32.19,3,1,161,1549.43,2,0,0,15,12,2,6
106.24,0,51710.36,2,1,4,8,29.41,0,2,131,3318.23,3,0,0,13,28,10,5
29.26,2,44026.13,1,1,0,13,129.22,1,0,73,2784.41,2,1,0,6,12,9,1
7.33,2,79607.74,0,4,2,9,450.34,3,0,148,3663.68,3,0,0,17,6,7,3
150.39,3,14909.53,2,0,1,2,177.11,2,1,7,1878.72,3,1,0,0,7,9,3
40.17,2,16086.22,1,1,4,5,428.94,0,2,232,4834.51,2,0,0,12,2,2,3
5.14,3,43717.63,1,4,4,14,53.42,1,3,39,2524.2,1,0,1,13,30,8,2
60.85,3,85290.56,2,4,0,12,220.54,2,1,80,1048.16,2,0,0,8,22,11,2
205.36,1,78939.35,2,0,4,3,103.97,0,2,221,4226.2,0,0,0,3,4,7,1
89.45,1,50632.17,0,4,3,12,418.36,4,1,9,2983.6,3,0,1,0,29,11,2
123.19,3,57927.47,0,1,4,4,461.37,0,1,205,2333.9,3,0,1,6,17,11,4
83.62,2,31643.7,1,1,0,8,386.09,0,3,65,3145.74,0,0,0,19,24,1,1
13.37,1,46427.12,2,4,4,7,74.91,1,3,54,4750.17,3,0,0,19,12,8,5
47.31,1,52409.9,1,3,4,13,60.69,4,0,21,544.59,2,0,1,1,9,6,4
21.61,2,56273.77,2,2,0,13,333.89,0,3,196,4603.43,1,0,0,21,25,3,5
187.12,3,94739.54,0,4,1,2,295.22,4,0,9,4688.33,2,0,1,11,17,1,1
147.25,2,3669.39,1,2,4,4,451.03,4,0,28,3402.63,3,0,1,6,3,12,6
69.1,3,58539.2,0,4,2,1,163.04,2,3,59,1306.67,0,1,0,7,1,7,5
217.27,0,36117.08,0,0,1,6,455.32,0,2,167,1321.22,3,0,0,2,23,11,3
69.84,0,84330.27,0,1,1,8,86.47,0,2,115,400.13,1,0,1,17,9,11,3
36.82,1,56488.54,2,4,3,4,333.79,2,0,104,1345.89,0,1,0,6,5,7,2
17.41,2,73605.74,2,0,2,12,50.76,2,0,124,638.19,2,0,0,13,19,6,0
30.34,2,35327.86,0,4,3,6,336.25,1,1,172,2717.53,0,0,0,15,27,6,1
12.91,3,76079.82,0,3,0,1,322.92,4,2,147,1764.76,1,1,1,7,5,12,1
32.36,2,34985.48,1,1,2,5,210.98,3,1,73,3368.27,1,0,0,8,12,8,5
67.26,0,37104.47,0,0,3,7,63.63,2,0,191,1444.67,3,0,0,12,11,4,1
141.63,1,27163.92,2,4,4,14,452.93,1,0,162,3283.63,0,0,0,3,17,3,4
70.01,1,54910.0,2,1,0,13,100.8,0,2,85,2777.52,1,0,0,7,21,11,1
45.73,2,14703.0,2,2,4,7,209.29,3,2,80,2554.72,3,0,0,3,21,11,1
303.56,3,25136.46,2,1,1,14,192.22,3,3,70,2213.52,1,1,0,23,19,8,5
155.62,2,29034.66,1,1,2,14,414.6,4,2,8,596.37,1,0,1,21,23,2,3
128.66,2,46290.1,2,4,1,2,257.62,4,3,19,2656.6,2,0,1,7,19,7,2
103.54,2,48606.42,2,2,0,4,276.17,0,2,124,3195.22,2,0,0,20,3,9,6
76.9,1,63278.74,0,1,3,12,336.06,4,1,223,1180.66,0,1,1,22,20,5,5
11.24,2,17859.15,0,2,2,7,341.48,4,3,157,3652.04,3,1,1,16,5,4,2
18.23,2,45332.0,0,4,0,4,176.49,0,0,124,1949.2,2,1,0,4,9,5,1
120.47,2,57571.31,0,0,4,7,370.96,3,3,208,2726.5,1,1,0,3,18,5,3
74.3,3,89389.94,1,2,3,3,356.09,2,2,59,186.85,2,0,0,4,8,4,5
75.32,0,15602.15,0,2,4,12,188.0,2,2,58,1688.78,0,0,0,11,14,4,4
8.15,3,41365.76,1,1,4,9,79.29,0,1,30,2978.75,3,0,0,9,31,3,4
24.13,1,18178.88,1,0,0,13,280.91,3,0,80,1303.54,2,0,0,15,8,5,0
29.57,0,87812.26,0,2,0,9,446.45,0,0,90,3811.41,1,0,0,11,22,1,6
25.89,0,17238.14,1,3,3,5,306.12,0,0,138,3518.68,3,1,0,2,18,7,1
111.0,2,88211.28,0,1,1,7,197.47,3,3,82,2064.16,1,0,0,7,12,10,3
267.49,1,56809.95,1,3,4,9,118.57,4,1,200,3851.28,3,0,1,6,2,4,6
13.44,2,71310.03,1,4,2,1,223.81,3,3,33,3417.91,3,0,0,10,14,6,2
217.06,0,82906.72,0,3,3,12,403.81,0,3,206,4701.84,2,0,1,23,10,5,2
67.84,1,92938.28,2,1,4,8,470.22,1,3,147,1717.72,1,1,0,3,29,11,2
285.42,0,92538.16,2,4,4,4,59.7,3,2,156,4743.65,1,0,0,0,19,5,4
355.46,2,27262.68,2,3,3,13,468.31,4,3,114,2809.92,0,0,1,12,9,3,3
87.68,1,48877.52,0,1,4,8,317.44,0,2,26,986.41,2,0,1,4,5,3,6
147.15,2,75451.71,2,3,4,3,304.43,3,2,126,2492.19,2,0,0,0,18,9,0
9.86,0,35461.86,1,2,0,6,351.73,1,1,108,4745.82,1,0,0,20,18,8,4
79.44,3,16623.29,0,0,0,11,464.95,2,1,216,3393.12,3,1,0,5,15,9,4
139.61,0,21020.25,1,3,1,7,77.61,4,3,10,4365.78,2,1,1,11,31,10,1
153.71,1,58774.92,2,2,3,4,287.86,4,2,32,886.64,1,0,1,13,10,1,1
36.46,3,19174.71,1,0,4,10,393.25,0,1,109,4233.16,1,0,0,14,11,12,0
102.49,1,37426.2,1,2,0,9,358.26,3,1,19,4753.9,1,0,0,1,30,1,0
247.46,2,80416.85,0,0,3,7,185.98,0,0,205,4844.59,0,0,0,20,18,3,5
78.28,3,45356.81,2,1,1,11,191.27,0,1,133,4406.3,2,0,1,9,17,3,4
132.99,2,74787.14,1,4,3,9,87.8,3,1,35,1216.1,3,0,0,15,25,6,6
127.96,2,13872.79,0,4,2,8,410.19,3,3,199,4271.96,1,1,0,22,10,11,4
17.15,2,90125.88,2,2,2,7,125.35,2,2,29,3777.48,0,1,0,6,25,5,3
132.5,0,80929.36,0,4,1,6,267.23,1,1,78,1371.9,1,0,0,3,21,6,2
139.2,2,27145.13,0,4,1,8,318.18,3,2,234,2585.45,0,0,1,22,16,12,5
23.53,3,16144.26,0,1,2,6,153.62,2,2,196,2208.75,2,0,0,20,17,4,0
209.57,2,11274.84,2,0,0,5,129.86,0,2,159,2871.75,0,0,1,9,6,4,3
3.59,2,13184.35,2,0,1,10,339.87,3,3,191,1091.74,0,0,0,2,6,9,2
2.97,1,71961.02,1,2,4,13,257.77,0,0,217,2846.7,2,0,0,5,25,2,5
22.66,1,23060.01,0,2,2,7,194.15,4,1,87,4210.97,0,0,1,23,2,12,5
261.24,0,26809.96,0,0,4,11,39.61,2,1,117,3961.29,1,1,0,8,13,7,3
140.8,1,41544.23,0,0,2,3,182.39,4,0,43,2167.94,0,0,1,20,9,7,6
130.25,2,66516.41,2,2,0,11,461.28,1,2,159,2761.28,3,0,0,9,23,7,6
250.18,0,40538.38,2,2,1,9,122.97,1,0,200,2900.39,2,1,0,16,18,7,1
37.26,2,3050.51,0,1,1,5,241.2,2,2,182,4429.68,3,0,0,2,24,5,2
98.95,1,71185.31,2,3,4,2,323.11,0,3,80,4151.4,1,0,0,11,15,12,4
204.41,0,95071.81,2,1,4,14,213.3,1,1,174,947.9,1,0,0,10,24,1,1
113.29,0,95937.23,0,1,3,6,253.66,0,1,87,3482.49,3,0,0,15,18,12,0
117.74,0,92900.81,0,2,0,3,384.0,3,2,94,2222.99,2,0,0,13,23,2,3
125.42,3,44713.48,0,1,2,5,38.77,2,2,63,670.53,0,1,0,22,17,9,6
52.66,1,81288.08,1,2,4,14,326.52,1,2,89,353.52,0,0,0,18,5,5,4
162.86,3,91507.85,1,2,0,7,463.36,3,1,58,2342.38,0,1,0,6,20,9,2
45.7,2,77680.8,2,1,3,12,428.53,2,0,61,1677.74,1,0,0,13,6,10,4
6.06,3,4734.39,2,1,2,9,274.21,2,1,211,4654.95,3,0,1,19,20,5,5
75.54,0,13772.21,1,4,1,2,262.83,0,3,33,2359.91,0,1,0,3,20,7,3
29.35,0,12265.62,1,3,2,4,188.6,1,3,213,2780.27,1,0,0,17,26,6,0
59.72,1,10091.63,2,1,4,8,461.96,0,3,182,2707.49,2,0,0,8,19,4,2
25.2,0,25386.89,2,0,3,10,87.03,1,1,19,158.02,3,1,0,17,5,11,6
53.3,2,7605.15,1,4,4,6,376.71,2,2,230,3114.15,2,0,1,3,17,10,1
138.03,0,96883.5,2,0,1,13,212.13,1,1,228,537.82,1,1,0,21,18,2,5
10.43,0,67600.45,1,0,2,11,312.72,3,2,219,2317.71,1,0,0,23,9,5,1
81.75,1,56409.58,0,4,0,13,313.85,3,0,144,4650.3,3,0,0,14,30,1,0
262.29,3,18992.04,0,4,0,10,467.03,2,3,215,377.32,3,0,0,10,6,2,0
108.96,1,6691.4,1,3,3,5,304.01,1,2,42,2073.36,0,0,1,11,28,7,4
20.22,1,77041.72,1,4,2,4,244.51,2,3,217,1626.3,1,0,1,14,7,10,5
45.58,2,90507.83,2,0,1,12,354.1,4,2,88,3520.73,0,1,1,19,28,9,3
180.93,2,33685.41,1,2,1,12,292.89,3,2,5,594.79,1,0,1,5,22,5,0
299.68,1,42688.87,1,4,2,10,22.4,4,1,12,1959.04,3,0,1,19,29,6,3
30.37,2,75217.28,2,4,2,13,282.74,3,0,120,2001.59,3,0,0,20,22,2,2
11.55,3,50515.47,0,1,3,6,269.67,4,1,150,3755.3,2,0,1,13,20,6,1
49.29,2,92767.89,0,1,0,12,47.44,1,2,215,3110.01,1,0,0,16,13,4,3
